x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,0.08189,-0.03468,0.14142,-0.09753,0.18782,-0.14488,0.23185,-0.18872,0.08413,-0.27797,0.17819,-0.24089,0.19711,-0.15499,0.19061,-0.09047,0.05306,-0.27853,0.17997,-0.23554,0.18388,-0.13646,0.16661,-0.07833,0.03216,-0.24746,0.15107,-0.18899,0.14958,-0.09959,0.12837,-0.05781,0.01708,-0.19371,0.11288,-0.14664,0.12714,-0.08502,0.12165,-0.05469,1
0.0,0.0,0.09434,-0.03493,0.1591,-0.10236,0.20633,-0.15451,0.25025,-0.20192,0.09273,-0.29292,0.20171,-0.26924,0.21625,-0.17554,0.20263,-0.10551,0.06661,-0.29512,0.20315,-0.26667,0.20337,-0.16094,0.18163,-0.09917,0.04889,-0.26258,0.17885,-0.20777,0.17112,-0.11658,0.14843,-0.07269,0.03816,-0.2031,0.14051,-0.15714,0.14983,-0.09676,0.14401,-0.06546,1
0.0,0.0,0.10881,-0.05017,0.17487,-0.11345,0.22611,-0.16049,0.27067,-0.21054,0.10164,-0.30873,0.21342,-0.28562,0.22891,-0.19022,0.21728,-0.11899,0.07897,-0.30555,0.22036,-0.27828,0.21993,-0.1712,0.19847,-0.10634,0.06418,-0.27052,0.19495,-0.21885,0.18593,-0.1301,0.16172,-0.08487,0.05596,-0.20984,0.15762,-0.16872,0.16667,-0.11198,0.16135,-0.08102,1
0.0,0.0,0.11554,-0.05685,0.18099,-0.1182,0.23461,-0.16315,0.2783,-0.21241,0.10533,-0.31066,0.21881,-0.29532,0.23702,-0.19978,0.22569,-0.13278,0.08646,-0.30269,0.22804,-0.28345,0.23239,-0.17878,0.21223,-0.1158,0.07498,-0.26476,0.20482,-0.22057,0.19926,-0.13455,0.17441,-0.09033,0.06995,-0.20261,0.17117,-0.16682,0.18118,-0.11248,0.1745,-0.08256,1
0.0,0.0,0.11824,-0.0576,0.18504,-0.11702,0.23982,-0.16021,0.28236,-0.21151,0.10895,-0.31613,0.22171,-0.29807,0.23684,-0.1998,0.22343,-0.13334,0.08996,-0.30785,0.23229,-0.28259,0.23299,-0.17509,0.21059,-0.11204,0.07821,-0.26945,0.2094,-0.21979,0.20121,-0.13139,0.17479,-0.0862,0.07309,-0.20673,0.17588,-0.16736,0.18484,-0.1085,0.17735,-0.07532,1
0.0,0.0,0.11982,-0.05983,0.18582,-0.11907,0.24072,-0.16251,0.2846,-0.21183,0.10795,-0.32007,0.22204,-0.30055,0.24212,-0.20584,0.2324,-0.13971,0.08902,-0.31198,0.23478,-0.28523,0.23678,-0.17865,0.21484,-0.11553,0.07835,-0.27355,0.21177,-0.22087,0.2021,-0.13143,0.17428,-0.0855,0.07389,-0.21063,0.18085,-0.1633,0.18943,-0.10128,0.18167,-0.06691,1
0.0,0.0,0.11987,-0.05886,0.1855,-0.11837,0.24028,-0.16194,0.2843,-0.21037,0.10893,-0.31706,0.22075,-0.30054,0.24107,-0.2044,0.23053,-0.13532,0.08973,-0.30917,0.23484,-0.28497,0.23724,-0.17707,0.2146,-0.11289,0.07857,-0.27087,0.21191,-0.22105,0.20317,-0.13092,0.17537,-0.08425,0.07375,-0.2084,0.18033,-0.16346,0.18909,-0.10136,0.18106,-0.06663,1
0.0,0.0,0.11743,-0.06291,0.18321,-0.12343,0.23736,-0.16805,0.28372,-0.21578,0.10453,-0.31935,0.22126,-0.30289,0.23793,-0.20269,0.22469,-0.13352,0.08573,-0.31152,0.23264,-0.28744,0.23247,-0.17823,0.20796,-0.11331,0.07536,-0.27449,0.20913,-0.22523,0.19865,-0.13501,0.17005,-0.08789,0.0707,-0.21355,0.17962,-0.16822,0.18716,-0.10556,0.17813,-0.06986,1
0.0,0.0,0.11672,-0.06369,0.18289,-0.12474,0.23704,-0.17057,0.28345,-0.21854,0.10689,-0.31912,0.21963,-0.30477,0.24068,-0.20554,0.23145,-0.13158,0.08645,-0.31275,0.23003,-0.28953,0.23299,-0.17664,0.21223,-0.10608,0.07542,-0.27697,0.20717,-0.2273,0.19999,-0.1356,0.17506,-0.08328,0.07087,-0.21727,0.17898,-0.16894,0.18753,-0.10426,0.18037,-0.06514,1
0.0,0.0,0.11868,-0.06057,0.18523,-0.12245,0.24054,-0.16745,0.28547,-0.21661,0.10983,-0.31982,0.22432,-0.30109,0.24406,-0.20023,0.23442,-0.12691,0.08956,-0.31126,0.23497,-0.28402,0.23691,-0.17088,0.21618,-0.10145,0.07844,-0.27297,0.21201,-0.2202,0.20414,-0.12878,0.17906,-0.07805,0.07414,-0.21141,0.18075,-0.16446,0.18904,-0.10099,0.1821,-0.06332,1
